Artist and Title,Streams,Daily,clean_artist,song,streams_millions
Lewis Capaldi - Someone You Loved,2958875491,1522093.0,Lewis Capaldi,Someone You Loved,2958.875491
Post Malone - Sunflower,2898311408,1871177.0,Post Malone,Sunflower,2898.311408
Tones And I - Dance Monkey,2896024418,666818.0,Tones And I,Dance Monkey,2896.024418
Post Malone - rockstar,2763808309,821331.0,Post Malone,rockstar,2763.808309
The Kid LAROI - STAY,2738183590,1490471.0,The Kid LAROI,STAY,2738.18359
Glass Animals - Heat Waves,2631653042,1508232.0,Glass Animals,Heat Waves,2631.653042
The Chainsmokers - Closer,2628670123,834463.0,The Chainsmokers,Closer,2628.670123
Shawn Mendes - SeÃÂ±orita,2523466357,804984.0,Shawn Mendes,SeÃÂ±orita,2523.466357
James Arthur - Say You Won't Let Go,2469540456,1033161.0,James Arthur,Say You Won't Let Go,2469.540456
The Neighbourhood - Sweater Weather,2362456184,1811559.0,The Neighbourhood,Sweater Weather,2362.456184
Juice WRLD - Lucid Dreams,2325456383,750088.0,Juice WRLD,Lucid Dreams,2325.456383
The Chainsmokers - Something Just Like This,2253983245,1069278.0,The Chainsmokers,Something Just Like This,2253.983245
Queen - Bohemian Rhapsody,2241512021,1005635.0,Queen,Bohemian Rhapsody,2241.512021
Hozier - Take Me to Church,2188565483,1224613.0,Hozier,Take Me to Church,2188.565483
Post Malone - Circles,2184716575,1242292.0,Post Malone,Circles,2184.716575
Justin Bieber - Love Yourself,2163556569,909569.0,Justin Bieber,Love Yourself,2163.556569
XXXTENTACION - SAD!,2079822824,524229.0,XXXTENTACION,SAD!,2079.822824
Vance Joy - Riptide,2076301444,1367528.0,Vance Joy,Riptide,2076.301444
OneRepublic - Counting Stars,2070108919,1241291.0,OneRepublic,Counting Stars,2070.108919
Travis Scott - goosebumps,2068777853,879747.0,Travis Scott,goosebumps,2068.777853
Avicii - Wake Me Up,2021627687,1101951.0,Avicii,Wake Me Up,2021.627687
XXXTENTACION - Jocelyn Flores,2014993007,586342.0,XXXTENTACION,Jocelyn Flores,2014.993007
Passenger - Let Her Go,1972975207,966048.0,Passenger,Let Her Go,1972.975207
